Sexo;Comunidades y Ciudades Autónomas;Nivel de formación alcanzado;Periodo;Total
Ambos sexos;01 Andalucía;Segunda etapa de educación secundaria, con orientación general;2015;829,9
Ambos sexos;01 Andalucía;Segunda etapa de educación secundaria, con orientación general;2014;798
Ambos sexos;01 Andalucía;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2022;618,8
Ambos sexos;01 Andalucía;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2021;624,8
Ambos sexos;01 Andalucía;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2020;568,5
Ambos sexos;01 Andalucía;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2019;566,1
Ambos sexos;01 Andalucía;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2018;538,6
Ambos sexos;01 Andalucía;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2017;500,7
Ambos sexos;01 Andalucía;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2016;518,2
Ambos sexos;01 Andalucía;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2015;501,4
Ambos sexos;01 Andalucía;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2014;496,5
Ambos sexos;01 Andalucía;Educación superior;2022;1.997
Ambos sexos;01 Andalucía;Educación superior;2021;1.941
Ambos sexos;01 Andalucía;Educación superior;2020;1.822,4
Ambos sexos;01 Andalucía;Educación superior;2019;1.720,5
Ambos sexos;01 Andalucía;Educación superior;2018;1.671,9
Ambos sexos;01 Andalucía;Educación superior;2017;1.626,3
Ambos sexos;01 Andalucía;Educación superior;2016;1.597
Ambos sexos;01 Andalucía;Educación superior;2015;1.543,8
Ambos sexos;01 Andalucía;Educación superior;2014;1.494,5
Ambos sexos;02 Aragón;Total;2022;1.097,6
Ambos sexos;02 Aragón;Total;2021;1.101,2
Ambos sexos;02 Aragón;Total;2020;1.110,6
Ambos sexos;02 Aragón;Total;2019;1.103,1
Ambos sexos;02 Aragón;Total;2018;1.094,4
Ambos sexos;02 Aragón;Total;2017;1.093,4
Ambos sexos;02 Aragón;Total;2016;1.094,9
Ambos sexos;02 Aragón;Total;2015;1.099,9
Ambos sexos;02 Aragón;Total;2014;1.104,3
Ambos sexos;02 Aragón;Analfabetos;2022;9,5
Ambos sexos;02 Aragón;Analfabetos;2021;7,6
Ambos sexos;02 Aragón;Analfabetos;2020;7,9
Ambos sexos;02 Aragón;Analfabetos;2019;7,7
Ambos sexos;02 Aragón;Analfabetos;2018;8
Ambos sexos;02 Aragón;Analfabetos;2017;9
Ambos sexos;02 Aragón;Analfabetos;2016;8,4
Ambos sexos;02 Aragón;Analfabetos;2015;9,9
Ambos sexos;02 Aragón;Analfabetos;2014;9,4
Ambos sexos;02 Aragón;Estudios primarios incompletos;2022;27,6
Ambos sexos;02 Aragón;Estudios primarios incompletos;2021;27,7
Ambos sexos;02 Aragón;Estudios primarios incompletos;2020;30,6
Ambos sexos;02 Aragón;Estudios primarios incompletos;2019;34,3
Ambos sexos;02 Aragón;Estudios primarios incompletos;2018;39,3
Ambos sexos;02 Aragón;Estudios primarios incompletos;2017;39,9
Ambos sexos;02 Aragón;Estudios primarios incompletos;2016;50,7
Ambos sexos;02 Aragón;Estudios primarios incompletos;2015;58
Ambos sexos;02 Aragón;Estudios primarios incompletos;2014;60,9
Ambos sexos;02 Aragón;Educación primaria;2022;148
Ambos sexos;02 Aragón;Educación primaria;2021;145,8
Ambos sexos;02 Aragón;Educación primaria;2020;170,3
Ambos sexos;02 Aragón;Educación primaria;2019;171,6
Ambos sexos;02 Aragón;Educación primaria;2018;180
Ambos sexos;02 Aragón;Educación primaria;2017;181,7
Ambos sexos;02 Aragón;Educación primaria;2016;182,8
Ambos sexos;02 Aragón;Educación primaria;2015;205,8
Ambos sexos;02 Aragón;Educación primaria;2014;226,5
Ambos sexos;02 Aragón;Primera etapa de educación secundaria y similar;2022;299,9
Ambos sexos;02 Aragón;Primera etapa de educación secundaria y similar;2021;284,6
Ambos sexos;02 Aragón;Primera etapa de educación secundaria y similar;2020;277,9
Ambos sexos;02 Aragón;Primera etapa de educación secundaria y similar;2019;293,3
Ambos sexos;02 Aragón;Primera etapa de educación secundaria y similar;2018;294,2
Ambos sexos;02 Aragón;Primera etapa de educación secundaria y similar;2017;294,4
Ambos sexos;02 Aragón;Primera etapa de educación secundaria y similar;2016;281,8
Ambos sexos;02 Aragón;Primera etapa de educación secundaria y similar;2015;280,8
Ambos sexos;02 Aragón;Primera etapa de educación secundaria y similar;2014;262,4
Ambos sexos;02 Aragón;Segunda etapa de educación secundaria, con orientación general;2022;139,3
Ambos sexos;02 Aragón;Segunda etapa de educación secundaria, con orientación general;2021;162,5
Ambos sexos;02 Aragón;Segunda etapa de educación secundaria, con orientación general;2020;160,3
Ambos sexos;02 Aragón;Segunda etapa de educación secundaria, con orientación general;2019;149,4
Ambos sexos;02 Aragón;Segunda etapa de educación secundaria, con orientación general;2018;144,4
Ambos sexos;02 Aragón;Segunda etapa de educación secundaria, con orientación general;2017;151,8
Ambos sexos;02 Aragón;Segunda etapa de educación secundaria, con orientación general;2016;158,7
Ambos sexos;02 Aragón;Segunda etapa de educación secundaria, con orientación general;2015;147,6
Ambos sexos;02 Aragón;Segunda etapa de educación secundaria, con orientación general;2014;145,7
Ambos sexos;02 Aragón;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2022;110,5
Ambos sexos;02 Aragón;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2021;122,8
Ambos sexos;02 Aragón;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2020;119,4
Ambos sexos;02 Aragón;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2019;111,4
Ambos sexos;02 Aragón;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2018;107,3
Ambos sexos;02 Aragón;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2017;108,1
Ambos sexos;02 Aragón;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2016;103,3
Ambos sexos;02 Aragón;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2015;95,7
Ambos sexos;02 Aragón;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2014;95,7
Ambos sexos;02 Aragón;Educación superior;2022;362,7
Ambos sexos;02 Aragón;Educación superior;2021;350,2
Ambos sexos;02 Aragón;Educación superior;2020;344,2
Ambos sexos;02 Aragón;Educación superior;2019;335,4
Ambos sexos;02 Aragón;Educación superior;2018;321,1
Ambos sexos;02 Aragón;Educación superior;2017;308,4
Ambos sexos;02 Aragón;Educación superior;2016;309,2
Ambos sexos;02 Aragón;Educación superior;2015;302,2
Ambos sexos;02 Aragón;Educación superior;2014;303,7
Ambos sexos;03 Asturias, Principado de;Total;2022;882,4
Ambos sexos;03 Asturias, Principado de;Total;2021;881,3
Ambos sexos;03 Asturias, Principado de;Total;2020;887,2
Ambos sexos;03 Asturias, Principado de;Total;2019;889,7
Ambos sexos;03 Asturias, Principado de;Total;2018;893,5
Ambos sexos;03 Asturias, Principado de;Total;2017;901,1
Ambos sexos;03 Asturias, Principado de;Total;2016;906,8
Ambos sexos;03 Asturias, Principado de;Total;2015;912,4
Ambos sexos;03 Asturias, Principado de;Total;2014;920,4
Ambos sexos;03 Asturias, Principado de;Analfabetos;2022;6,4
Ambos sexos;03 Asturias, Principado de;Analfabetos;2021;5,1
Ambos sexos;03 Asturias, Principado de;Analfabetos;2020;4,9
Ambos sexos;03 Asturias, Principado de;Analfabetos;2019;4,5
Ambos sexos;03 Asturias, Principado de;Analfabetos;2018;6,1
Ambos sexos;03 Asturias, Principado de;Analfabetos;2017;6,7
Ambos sexos;03 Asturias, Principado de;Analfabetos;2016;5,3
Ambos sexos;03 Asturias, Principado de;Analfabetos;2015;7,6
Ambos sexos;03 Asturias, Principado de;Analfabetos;2014;6,2
Ambos sexos;03 Asturias, Principado de;Estudios primarios incompletos;2022;21,4
Ambos sexos;03 Asturias, Principado de;Estudios primarios incompletos;2021;20,7
Ambos sexos;03 Asturias, Principado de;Estudios primarios incompletos;2020;21
Ambos sexos;03 Asturias, Principado de;Estudios primarios incompletos;2019;27
Ambos sexos;03 Asturias, Principado de;Estudios primarios incompletos;2018;28,2
Ambos sexos;03 Asturias, Principado de;Estudios primarios incompletos;2017;24,8
Ambos sexos;03 Asturias, Principado de;Estudios primarios incompletos;2016;32,8
Ambos sexos;03 Asturias, Principado de;Estudios primarios incompletos;2015;42,7
Ambos sexos;03 Asturias, Principado de;Estudios primarios incompletos;2014;44,8
Ambos sexos;03 Asturias, Principado de;Educación primaria;2022;78,7
Ambos sexos;03 Asturias, Principado de;Educación primaria;2021;98,5
Ambos sexos;03 Asturias, Principado de;Educación primaria;2020;117,7
Ambos sexos;03 Asturias, Principado de;Educación primaria;2019;134,5
Ambos sexos;03 Asturias, Principado de;Educación primaria;2018;164
Ambos sexos;03 Asturias, Principado de;Educación primaria;2017;184
Ambos sexos;03 Asturias, Principado de;Educación primaria;2016;206,7
Ambos sexos;03 Asturias, Principado de;Educación primaria;2015;200,2
Ambos sexos;03 Asturias, Principado de;Educación primaria;2014;211,8
Ambos sexos;03 Asturias, Principado de;Primera etapa de educación secundaria y similar;2022;281,2
Ambos sexos;03 Asturias, Principado de;Primera etapa de educación secundaria y similar;2021;263,6
Ambos sexos;03 Asturias, Principado de;Primera etapa de educación secundaria y similar;2020;244,9
Ambos sexos;03 Asturias, Principado de;Primera etapa de educación secundaria y similar;2019;241,3
Ambos sexos;03 Asturias, Principado de;Primera etapa de educación secundaria y similar;2018;215,7
Ambos sexos;03 Asturias, Principado de;Primera etapa de educación secundaria y similar;2017;211,1
Ambos sexos;03 Asturias, Principado de;Primera etapa de educación secundaria y similar;2016;196
Ambos sexos;03 Asturias, Principado de;Primera etapa de educación secundaria y similar;2015;200,2
Ambos sexos;03 Asturias, Principado de;Primera etapa de educación secundaria y similar;2014;207,7
Ambos sexos;03 Asturias, Principado de;Segunda etapa de educación secundaria, con orientación general;2022;119,8
Ambos sexos;03 Asturias, Principado de;Segunda etapa de educación secundaria, con orientación general;2021;113,2
Ambos sexos;03 Asturias, Principado de;Segunda etapa de educación secundaria, con orientación general;2020;122,2
Ambos sexos;03 Asturias, Principado de;Segunda etapa de educación secundaria, con orientación general;2019;122,3
Ambos sexos;03 Asturias, Principado de;Segunda etapa de educación secundaria, con orientación general;2018;119,2
Ambos sexos;03 Asturias, Principado de;Segunda etapa de educación secundaria, con orientación general;2017;118,1
Ambos sexos;03 Asturias, Principado de;Segunda etapa de educación secundaria, con orientación general;2016;117,1
Ambos sexos;03 Asturias, Principado de;Segunda etapa de educación secundaria, con orientación general;2015;118,9
Ambos sexos;03 Asturias, Principado de;Segunda etapa de educación secundaria, con orientación general;2014;113,1
Ambos sexos;03 Asturias, Principado de;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2022;80,9
Ambos sexos;03 Asturias, Principado de;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2021;81,8
Ambos sexos;03 Asturias, Principado de;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2020;78,2
Ambos sexos;03 Asturias, Principado de;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2019;70,9
Ambos sexos;03 Asturias, Principado de;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2018;70,2
Ambos sexos;03 Asturias, Principado de;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2017;67,2
Ambos sexos;03 Asturias, Principado de;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2016;66
Ambos sexos;03 Asturias, Principado de;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2015;65,3
Ambos sexos;03 Asturias, Principado de;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2014;64,9
Ambos sexos;03 Asturias, Principado de;Educación superior;2022;294,1
Ambos sexos;03 Asturias, Principado de;Educación superior;2021;298,3
Ambos sexos;03 Asturias, Principado de;Educación superior;2020;298,1
Ambos sexos;03 Asturias, Principado de;Educación superior;2019;289,1
Ambos sexos;03 Asturias, Principado de;Educación superior;2018;290
Ambos sexos;03 Asturias, Principado de;Educación superior;2017;289,1
Ambos sexos;03 Asturias, Principado de;Educación superior;2016;282,9
Ambos sexos;03 Asturias, Principado de;Educación superior;2015;277,5
Ambos sexos;03 Asturias, Principado de;Educación superior;2014;272
Ambos sexos;04 Balears, Illes;Total;2022;1.037,6
Ambos sexos;04 Balears, Illes;Total;2021;1.026,3
Ambos sexos;04 Balears, Illes;Total;2020;1.022,4
Ambos sexos;04 Balears, Illes;Total;2019;1.004,8
Ambos sexos;04 Balears, Illes;Total;2018;982,7
Ambos sexos;04 Balears, Illes;Total;2017;957,8
Ambos sexos;04 Balears, Illes;Total;2016;944,9
Ambos sexos;04 Balears, Illes;Total;2015;937
Ambos sexos;04 Balears, Illes;Total;2014;930,1
Ambos sexos;04 Balears, Illes;Analfabetos;2022;12,2
Ambos sexos;04 Balears, Illes;Analfabetos;2021;12,8
Ambos sexos;04 Balears, Illes;Analfabetos;2020;15,3
Ambos sexos;04 Balears, Illes;Analfabetos;2019;15,2
Ambos sexos;04 Balears, Illes;Analfabetos;2018;16
Ambos sexos;04 Balears, Illes;Analfabetos;2017;14
Ambos sexos;04 Balears, Illes;Analfabetos;2016;16,6
Ambos sexos;04 Balears, Illes;Analfabetos;2015;15,1
Ambos sexos;04 Balears, Illes;Analfabetos;2014;17,4
Ambos sexos;04 Balears, Illes;Estudios primarios incompletos;2022;34,7
Ambos sexos;04 Balears, Illes;Estudios primarios incompletos;2021;30,9
Ambos sexos;04 Balears, Illes;Estudios primarios incompletos;2020;38,6
Ambos sexos;04 Balears, Illes;Estudios primarios incompletos;2019;35,7
Ambos sexos;04 Balears, Illes;Estudios primarios incompletos;2018;43,9
Ambos sexos;04 Balears, Illes;Estudios primarios incompletos;2017;47,8
Ambos sexos;04 Balears, Illes;Estudios primarios incompletos;2016;49,2
Ambos sexos;04 Balears, Illes;Estudios primarios incompletos;2015;59,4
Ambos sexos;04 Balears, Illes;Estudios primarios incompletos;2014;64,6
Ambos sexos;04 Balears, Illes;Educación primaria;2022;107,6
Ambos sexos;04 Balears, Illes;Educación primaria;2021;90,2
Ambos sexos;04 Balears, Illes;Educación primaria;2020;85
Ambos sexos;04 Balears, Illes;Educación primaria;2019;102,7
Ambos sexos;04 Balears, Illes;Educación primaria;2018;100,1
Ambos sexos;04 Balears, Illes;Educación primaria;2017;89,8
Ambos sexos;04 Balears, Illes;Educación primaria;2016;90,9
Ambos sexos;04 Balears, Illes;Educación primaria;2015;95,6
Ambos sexos;04 Balears, Illes;Educación primaria;2014;109,2
Ambos sexos;04 Balears, Illes;Primera etapa de educación secundaria y similar;2022;320,4
Ambos sexos;04 Balears, Illes;Primera etapa de educación secundaria y similar;2021;305,7
Ambos sexos;04 Balears, Illes;Primera etapa de educación secundaria y similar;2020;324,1
Ambos sexos;04 Balears, Illes;Primera etapa de educación secundaria y similar;2019;334,4
Ambos sexos;04 Balears, Illes;Primera etapa de educación secundaria y similar;2018;325,7
Ambos sexos;04 Balears, Illes;Primera etapa de educación secundaria y similar;2017;322,4
Ambos sexos;04 Balears, Illes;Primera etapa de educación secundaria y similar;2016;316
Ambos sexos;04 Balears, Illes;Primera etapa de educación secundaria y similar;2015;324
Ambos sexos;04 Balears, Illes;Primera etapa de educación secundaria y similar;2014;319,4
Ambos sexos;04 Balears, Illes;Segunda etapa de educación secundaria, con orientación general;2022;186,5
Ambos sexos;04 Balears, Illes;Segunda etapa de educación secundaria, con orientación general;2021;178,6
Ambos sexos;04 Balears, Illes;Segunda etapa de educación secundaria, con orientación general;2020;167,4
Ambos sexos;04 Balears, Illes;Segunda etapa de educación secundaria, con orientación general;2019;163,7
Ambos sexos;04 Balears, Illes;Segunda etapa de educación secundaria, con orientación general;2018;168,3
Ambos sexos;04 Balears, Illes;Segunda etapa de educación secundaria, con orientación general;2017;162,7
Ambos sexos;04 Balears, Illes;Segunda etapa de educación secundaria, con orientación general;2016;162,5
Ambos sexos;04 Balears, Illes;Segunda etapa de educación secundaria, con orientación general;2015;155,9
Ambos sexos;04 Balears, Illes;Segunda etapa de educación secundaria, con orientación general;2014;143,8
Ambos sexos;04 Balears, Illes;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2022;90,7
Ambos sexos;04 Balears, Illes;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2021;105
Ambos sexos;04 Balears, Illes;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2020;96,9
Ambos sexos;04 Balears, Illes;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2019;89,2
Ambos sexos;04 Balears, Illes;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2018;86,7
Ambos sexos;04 Balears, Illes;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2017;77,7
Ambos sexos;04 Balears, Illes;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2016;82,6
Ambos sexos;04 Balears, Illes;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2015;74,1
Ambos sexos;04 Balears, Illes;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2014;64
Ambos sexos;04 Balears, Illes;Educación superior;2022;285,4
Ambos sexos;04 Balears, Illes;Educación superior;2021;303
Ambos sexos;04 Balears, Illes;Educación superior;2020;295,2
Ambos sexos;04 Balears, Illes;Educación superior;2019;264
Ambos sexos;04 Balears, Illes;Educación superior;2018;241,9
Ambos sexos;04 Balears, Illes;Educación superior;2017;243,3
Ambos sexos;04 Balears, Illes;Educación superior;2016;226,9
Ambos sexos;04 Balears, Illes;Educación superior;2015;212,8
Ambos sexos;04 Balears, Illes;Educación superior;2014;211,7
Ambos sexos;05 Canarias;Total;2022;1.954,4
Ambos sexos;05 Canarias;Total;2021;1.934,4
Ambos sexos;05 Canarias;Total;2020;1.922,4
Ambos sexos;05 Canarias;Total;2019;1.895,9
Ambos sexos;05 Canarias;Total;2018;1.858,3
Ambos sexos;05 Canarias;Total;2017;1.821,9
Ambos sexos;05 Canarias;Total;2016;1.800
Ambos sexos;05 Canarias;Total;2015;1.795,2
Ambos sexos;05 Canarias;Total;2014;1.782,8
