Edad simple;Comunidades y ciudades autónomas;Sexo;Periodo;Total
16 años;01 Andalucía;Hombres;2015;44.453
16 años;01 Andalucía;Hombres;2014;44.384
16 años;01 Andalucía;Hombres;2013;44.170
16 años;01 Andalucía;Mujeres;2021;46.027
16 años;01 Andalucía;Mujeres;2020;45.221
16 años;01 Andalucía;Mujeres;2019;43.450
16 años;01 Andalucía;Mujeres;2018;43.478
16 años;01 Andalucía;Mujeres;2017;42.984
16 años;01 Andalucía;Mujeres;2016;42.541
16 años;01 Andalucía;Mujeres;2015;41.657
16 años;01 Andalucía;Mujeres;2014;42.141
16 años;01 Andalucía;Mujeres;2013;41.907
16 años;02 Aragón;Total;2021;13.046
16 años;02 Aragón;Total;2020;12.772
16 años;02 Aragón;Total;2019;12.206
16 años;02 Aragón;Total;2018;12.248
16 años;02 Aragón;Total;2017;11.990
16 años;02 Aragón;Total;2016;11.728
16 años;02 Aragón;Total;2015;11.447
16 años;02 Aragón;Total;2014;11.609
16 años;02 Aragón;Total;2013;11.575
16 años;02 Aragón;Hombres;2021;6.652
16 años;02 Aragón;Hombres;2020;6.572
16 años;02 Aragón;Hombres;2019;6.311
16 años;02 Aragón;Hombres;2018;6.263
16 años;02 Aragón;Hombres;2017;6.264
16 años;02 Aragón;Hombres;2016;6.080
16 años;02 Aragón;Hombres;2015;6.033
16 años;02 Aragón;Hombres;2014;5.951
16 años;02 Aragón;Hombres;2013;5.976
16 años;02 Aragón;Mujeres;2021;6.394
16 años;02 Aragón;Mujeres;2020;6.200
16 años;02 Aragón;Mujeres;2019;5.895
16 años;02 Aragón;Mujeres;2018;5.985
16 años;02 Aragón;Mujeres;2017;5.726
16 años;02 Aragón;Mujeres;2016;5.648
16 años;02 Aragón;Mujeres;2015;5.414
16 años;02 Aragón;Mujeres;2014;5.658
16 años;02 Aragón;Mujeres;2013;5.599
16 años;03 Asturias, Principado de;Total;2021;8.061
16 años;03 Asturias, Principado de;Total;2020;7.897
16 años;03 Asturias, Principado de;Total;2019;7.564
16 años;03 Asturias, Principado de;Total;2018;7.622
16 años;03 Asturias, Principado de;Total;2017;7.594
16 años;03 Asturias, Principado de;Total;2016;7.439
16 años;03 Asturias, Principado de;Total;2015;7.209
16 años;03 Asturias, Principado de;Total;2014;7.327
16 años;03 Asturias, Principado de;Total;2013;7.321
16 años;03 Asturias, Principado de;Hombres;2021;4.188
16 años;03 Asturias, Principado de;Hombres;2020;4.013
16 años;03 Asturias, Principado de;Hombres;2019;3.834
16 años;03 Asturias, Principado de;Hombres;2018;3.998
16 años;03 Asturias, Principado de;Hombres;2017;3.930
16 años;03 Asturias, Principado de;Hombres;2016;3.898
16 años;03 Asturias, Principado de;Hombres;2015;3.678
16 años;03 Asturias, Principado de;Hombres;2014;3.802
16 años;03 Asturias, Principado de;Hombres;2013;3.726
16 años;03 Asturias, Principado de;Mujeres;2021;3.873
16 años;03 Asturias, Principado de;Mujeres;2020;3.884
16 años;03 Asturias, Principado de;Mujeres;2019;3.730
16 años;03 Asturias, Principado de;Mujeres;2018;3.624
16 años;03 Asturias, Principado de;Mujeres;2017;3.664
16 años;03 Asturias, Principado de;Mujeres;2016;3.541
16 años;03 Asturias, Principado de;Mujeres;2015;3.531
16 años;03 Asturias, Principado de;Mujeres;2014;3.525
16 años;03 Asturias, Principado de;Mujeres;2013;3.595
16 años;04 Balears, Illes;Total;2021;11.978
16 años;04 Balears, Illes;Total;2020;11.663
16 años;04 Balears, Illes;Total;2019;11.451
16 años;04 Balears, Illes;Total;2018;11.140
16 años;04 Balears, Illes;Total;2017;11.059
16 años;04 Balears, Illes;Total;2016;10.668
16 años;04 Balears, Illes;Total;2015;10.263
16 años;04 Balears, Illes;Total;2014;10.252
16 años;04 Balears, Illes;Total;2013;10.115
16 años;04 Balears, Illes;Hombres;2021;6.141
16 años;04 Balears, Illes;Hombres;2020;5.972
16 años;04 Balears, Illes;Hombres;2019;5.930
16 años;04 Balears, Illes;Hombres;2018;5.695
16 años;04 Balears, Illes;Hombres;2017;5.722
16 años;04 Balears, Illes;Hombres;2016;5.479
16 años;04 Balears, Illes;Hombres;2015;5.327
16 años;04 Balears, Illes;Hombres;2014;5.341
16 años;04 Balears, Illes;Hombres;2013;5.215
16 años;04 Balears, Illes;Mujeres;2021;5.837
16 años;04 Balears, Illes;Mujeres;2020;5.691
16 años;04 Balears, Illes;Mujeres;2019;5.521
16 años;04 Balears, Illes;Mujeres;2018;5.445
16 años;04 Balears, Illes;Mujeres;2017;5.337
16 años;04 Balears, Illes;Mujeres;2016;5.189
16 años;04 Balears, Illes;Mujeres;2015;4.936
16 años;04 Balears, Illes;Mujeres;2014;4.911
16 años;04 Balears, Illes;Mujeres;2013;4.900
16 años;05 Canarias;Total;2021;22.675
16 años;05 Canarias;Total;2020;22.365
16 años;05 Canarias;Total;2019;21.820
16 años;05 Canarias;Total;2018;21.954
16 años;05 Canarias;Total;2017;21.773
16 años;05 Canarias;Total;2016;21.815
16 años;05 Canarias;Total;2015;20.474
16 años;05 Canarias;Total;2014;20.505
16 años;05 Canarias;Total;2013;20.575
16 años;05 Canarias;Hombres;2021;11.604
16 años;05 Canarias;Hombres;2020;11.520
16 años;05 Canarias;Hombres;2019;11.298
16 años;05 Canarias;Hombres;2018;11.315
16 años;05 Canarias;Hombres;2017;11.281
16 años;05 Canarias;Hombres;2016;11.104
16 años;05 Canarias;Hombres;2015;10.594
16 años;05 Canarias;Hombres;2014;10.060
16 años;05 Canarias;Hombres;2013;10.125
16 años;05 Canarias;Mujeres;2021;11.071
16 años;05 Canarias;Mujeres;2020;10.845
16 años;05 Canarias;Mujeres;2019;10.522
16 años;05 Canarias;Mujeres;2018;10.639
16 años;05 Canarias;Mujeres;2017;10.492
16 años;05 Canarias;Mujeres;2016;10.711
16 años;05 Canarias;Mujeres;2015;9.880
16 años;05 Canarias;Mujeres;2014;10.445
16 años;05 Canarias;Mujeres;2013;10.450
16 años;06 Cantabria;Total;2021;5.657
16 años;06 Cantabria;Total;2020;5.507
16 años;06 Cantabria;Total;2019;5.218
16 años;06 Cantabria;Total;2018;4.987
16 años;06 Cantabria;Total;2017;5.124
16 años;06 Cantabria;Total;2016;4.829
16 años;06 Cantabria;Total;2015;4.600
16 años;06 Cantabria;Total;2014;4.653
16 años;06 Cantabria;Total;2013;4.667
16 años;06 Cantabria;Hombres;2021;2.835
16 años;06 Cantabria;Hombres;2020;2.832
16 años;06 Cantabria;Hombres;2019;2.670
16 años;06 Cantabria;Hombres;2018;2.532
16 años;06 Cantabria;Hombres;2017;2.605
16 años;06 Cantabria;Hombres;2016;2.454
16 años;06 Cantabria;Hombres;2015;2.373
16 años;06 Cantabria;Hombres;2014;2.448
16 años;06 Cantabria;Hombres;2013;2.430
16 años;06 Cantabria;Mujeres;2021;2.822
16 años;06 Cantabria;Mujeres;2020;2.675
16 años;06 Cantabria;Mujeres;2019;2.548
16 años;06 Cantabria;Mujeres;2018;2.455
16 años;06 Cantabria;Mujeres;2017;2.519
16 años;06 Cantabria;Mujeres;2016;2.375
16 años;06 Cantabria;Mujeres;2015;2.227
16 años;06 Cantabria;Mujeres;2014;2.205
16 años;06 Cantabria;Mujeres;2013;2.237
16 años;07 Castilla y León;Total;2021;20.814
16 años;07 Castilla y León;Total;2020;20.642
16 años;07 Castilla y León;Total;2019;20.248
16 años;07 Castilla y León;Total;2018;20.033
16 años;07 Castilla y León;Total;2017;20.491
16 años;07 Castilla y León;Total;2016;20.037
16 años;07 Castilla y León;Total;2015;19.642
16 años;07 Castilla y León;Total;2014;20.487
16 años;07 Castilla y León;Total;2013;20.304
16 años;07 Castilla y León;Hombres;2021;10.643
16 años;07 Castilla y León;Hombres;2020;10.404
16 años;07 Castilla y León;Hombres;2019;10.480
16 años;07 Castilla y León;Hombres;2018;10.237
16 años;07 Castilla y León;Hombres;2017;10.668
16 años;07 Castilla y León;Hombres;2016;10.187
16 años;07 Castilla y León;Hombres;2015;10.121
16 años;07 Castilla y León;Hombres;2014;10.498
16 años;07 Castilla y León;Hombres;2013;10.339
16 años;07 Castilla y León;Mujeres;2021;10.171
16 años;07 Castilla y León;Mujeres;2020;10.238
16 años;07 Castilla y León;Mujeres;2019;9.768
16 años;07 Castilla y León;Mujeres;2018;9.796
16 años;07 Castilla y León;Mujeres;2017;9.823
16 años;07 Castilla y León;Mujeres;2016;9.850
16 años;07 Castilla y León;Mujeres;2015;9.521
16 años;07 Castilla y León;Mujeres;2014;9.989
16 años;07 Castilla y León;Mujeres;2013;9.965
16 años;08 Castilla - La Mancha;Total;2021;21.909
16 años;08 Castilla - La Mancha;Total;2020;21.621
16 años;08 Castilla - La Mancha;Total;2019;20.804
16 años;08 Castilla - La Mancha;Total;2018;20.548
16 años;08 Castilla - La Mancha;Total;2017;21.026
16 años;08 Castilla - La Mancha;Total;2016;20.925
16 años;08 Castilla - La Mancha;Total;2015;20.482
16 años;08 Castilla - La Mancha;Total;2014;20.740
16 años;08 Castilla - La Mancha;Total;2013;20.833
16 años;08 Castilla - La Mancha;Hombres;2021;11.432
16 años;08 Castilla - La Mancha;Hombres;2020;11.065
16 años;08 Castilla - La Mancha;Hombres;2019;10.782
16 años;08 Castilla - La Mancha;Hombres;2018;10.555
16 años;08 Castilla - La Mancha;Hombres;2017;10.916
16 años;08 Castilla - La Mancha;Hombres;2016;10.761
16 años;08 Castilla - La Mancha;Hombres;2015;10.465
16 años;08 Castilla - La Mancha;Hombres;2014;10.566
16 años;08 Castilla - La Mancha;Hombres;2013;10.755
16 años;08 Castilla - La Mancha;Mujeres;2021;10.477
16 años;08 Castilla - La Mancha;Mujeres;2020;10.556
16 años;08 Castilla - La Mancha;Mujeres;2019;10.022
16 años;08 Castilla - La Mancha;Mujeres;2018;9.993
16 años;08 Castilla - La Mancha;Mujeres;2017;10.110
16 años;08 Castilla - La Mancha;Mujeres;2016;10.164
16 años;08 Castilla - La Mancha;Mujeres;2015;10.017
16 años;08 Castilla - La Mancha;Mujeres;2014;10.174
16 años;08 Castilla - La Mancha;Mujeres;2013;10.078
16 años;09 Cataluña;Total;2021;82.983
16 años;09 Cataluña;Total;2020;80.441
16 años;09 Cataluña;Total;2019;76.367
16 años;09 Cataluña;Total;2018;74.000
16 años;09 Cataluña;Total;2017;73.815
16 años;09 Cataluña;Total;2016;70.738
16 años;09 Cataluña;Total;2015;67.786
16 años;09 Cataluña;Total;2014;68.278
16 años;09 Cataluña;Total;2013;66.861
16 años;09 Cataluña;Hombres;2021;42.650
16 años;09 Cataluña;Hombres;2020;41.671
16 años;09 Cataluña;Hombres;2019;39.514
16 años;09 Cataluña;Hombres;2018;38.046
16 años;09 Cataluña;Hombres;2017;37.978
16 años;09 Cataluña;Hombres;2016;36.413
16 años;09 Cataluña;Hombres;2015;35.338
16 años;09 Cataluña;Hombres;2014;35.381
16 años;09 Cataluña;Hombres;2013;34.941
16 años;09 Cataluña;Mujeres;2021;40.333
16 años;09 Cataluña;Mujeres;2020;38.770
16 años;09 Cataluña;Mujeres;2019;36.853
16 años;09 Cataluña;Mujeres;2018;35.954
16 años;09 Cataluña;Mujeres;2017;35.837
16 años;09 Cataluña;Mujeres;2016;34.325
16 años;09 Cataluña;Mujeres;2015;32.448
16 años;09 Cataluña;Mujeres;2014;32.897
16 años;09 Cataluña;Mujeres;2013;31.920
16 años;10 Comunitat Valenciana;Total;2021;53.639
16 años;10 Comunitat Valenciana;Total;2020;52.619
16 años;10 Comunitat Valenciana;Total;2019;49.674
16 años;10 Comunitat Valenciana;Total;2018;49.070
16 años;10 Comunitat Valenciana;Total;2017;48.792
16 años;10 Comunitat Valenciana;Total;2016;47.123
16 años;10 Comunitat Valenciana;Total;2015;45.783
16 años;10 Comunitat Valenciana;Total;2014;45.891
16 años;10 Comunitat Valenciana;Total;2013;45.804
16 años;10 Comunitat Valenciana;Hombres;2021;27.744
16 años;10 Comunitat Valenciana;Hombres;2020;26.967
16 años;10 Comunitat Valenciana;Hombres;2019;25.679
16 años;10 Comunitat Valenciana;Hombres;2018;25.279
16 años;10 Comunitat Valenciana;Hombres;2017;25.049
16 años;10 Comunitat Valenciana;Hombres;2016;23.956
16 años;10 Comunitat Valenciana;Hombres;2015;23.690
16 años;10 Comunitat Valenciana;Hombres;2014;23.710
16 años;10 Comunitat Valenciana;Hombres;2013;23.700
16 años;10 Comunitat Valenciana;Mujeres;2021;25.895
16 años;10 Comunitat Valenciana;Mujeres;2020;25.652
16 años;10 Comunitat Valenciana;Mujeres;2019;23.995
16 años;10 Comunitat Valenciana;Mujeres;2018;23.791
16 años;10 Comunitat Valenciana;Mujeres;2017;23.743
16 años;10 Comunitat Valenciana;Mujeres;2016;23.167
16 años;10 Comunitat Valenciana;Mujeres;2015;22.093
16 años;10 Comunitat Valenciana;Mujeres;2014;22.181
16 años;10 Comunitat Valenciana;Mujeres;2013;22.104
16 años;11 Extremadura;Total;2021;10.475
16 años;11 Extremadura;Total;2020;10.651
16 años;11 Extremadura;Total;2019;10.489
16 años;11 Extremadura;Total;2018;10.676
16 años;11 Extremadura;Total;2017;10.923
16 años;11 Extremadura;Total;2016;10.842
16 años;11 Extremadura;Total;2015;10.831
16 años;11 Extremadura;Total;2014;10.919
16 años;11 Extremadura;Total;2013;11.135
16 años;11 Extremadura;Hombres;2021;5.312
16 años;11 Extremadura;Hombres;2020;5.443
16 años;11 Extremadura;Hombres;2019;5.351
16 años;11 Extremadura;Hombres;2018;5.495
16 años;11 Extremadura;Hombres;2017;5.618
16 años;11 Extremadura;Hombres;2016;5.544
16 años;11 Extremadura;Hombres;2015;5.602
16 años;11 Extremadura;Hombres;2014;5.657
16 años;11 Extremadura;Hombres;2013;5.563
16 años;11 Extremadura;Mujeres;2021;5.163
16 años;11 Extremadura;Mujeres;2020;5.208
16 años;11 Extremadura;Mujeres;2019;5.138
16 años;11 Extremadura;Mujeres;2018;5.181
16 años;11 Extremadura;Mujeres;2017;5.305
16 años;11 Extremadura;Mujeres;2016;5.298
16 años;11 Extremadura;Mujeres;2015;5.229
16 años;11 Extremadura;Mujeres;2014;5.262
16 años;11 Extremadura;Mujeres;2013;5.572
16 años;12 Galicia;Total;2021;22.813
16 años;12 Galicia;Total;2020;22.539
16 años;12 Galicia;Total;2019;21.360
16 años;12 Galicia;Total;2018;21.516
16 años;12 Galicia;Total;2017;21.538
16 años;12 Galicia;Total;2016;20.984
16 años;12 Galicia;Total;2015;20.584
16 años;12 Galicia;Total;2014;20.683
16 años;12 Galicia;Total;2013;20.626
16 años;12 Galicia;Hombres;2021;11.755
16 años;12 Galicia;Hombres;2020;11.558
16 años;12 Galicia;Hombres;2019;10.978
16 años;12 Galicia;Hombres;2018;11.108
16 años;12 Galicia;Hombres;2017;11.147
16 años;12 Galicia;Hombres;2016;10.782
16 años;12 Galicia;Hombres;2015;10.645
16 años;12 Galicia;Hombres;2014;10.709
16 años;12 Galicia;Hombres;2013;10.551
16 años;12 Galicia;Mujeres;2021;11.058
16 años;12 Galicia;Mujeres;2020;10.981
16 años;12 Galicia;Mujeres;2019;10.382
16 años;12 Galicia;Mujeres;2018;10.408
16 años;12 Galicia;Mujeres;2017;10.391
16 años;12 Galicia;Mujeres;2016;10.202
16 años;12 Galicia;Mujeres;2015;9.939
16 años;12 Galicia;Mujeres;2014;9.974
16 años;12 Galicia;Mujeres;2013;10.075
16 años;13 Madrid, Comunidad de;Total;2021;70.188
16 años;13 Madrid, Comunidad de;Total;2020;68.671
16 años;13 Madrid, Comunidad de;Total;2019;65.325
16 años;13 Madrid, Comunidad de;Total;2018;63.349
16 años;13 Madrid, Comunidad de;Total;2017;61.833
16 años;13 Madrid, Comunidad de;Total;2016;59.034
16 años;13 Madrid, Comunidad de;Total;2015;56.412
16 años;13 Madrid, Comunidad de;Total;2014;56.547
16 años;13 Madrid, Comunidad de;Total;2013;56.164
16 años;13 Madrid, Comunidad de;Hombres;2021;36.137
16 años;13 Madrid, Comunidad de;Hombres;2020;35.097
16 años;13 Madrid, Comunidad de;Hombres;2019;33.486
16 años;13 Madrid, Comunidad de;Hombres;2018;32.183
16 años;13 Madrid, Comunidad de;Hombres;2017;31.694
16 años;13 Madrid, Comunidad de;Hombres;2016;30.328
16 años;13 Madrid, Comunidad de;Hombres;2015;28.952
16 años;13 Madrid, Comunidad de;Hombres;2014;29.054
16 años;13 Madrid, Comunidad de;Hombres;2013;28.578
16 años;13 Madrid, Comunidad de;Mujeres;2021;34.051
16 años;13 Madrid, Comunidad de;Mujeres;2020;33.574
16 años;13 Madrid, Comunidad de;Mujeres;2019;31.839
16 años;13 Madrid, Comunidad de;Mujeres;2018;31.166
16 años;13 Madrid, Comunidad de;Mujeres;2017;30.139
16 años;13 Madrid, Comunidad de;Mujeres;2016;28.706
16 años;13 Madrid, Comunidad de;Mujeres;2015;27.460
16 años;13 Madrid, Comunidad de;Mujeres;2014;27.493
16 años;13 Madrid, Comunidad de;Mujeres;2013;27.586
16 años;14 Murcia, Región de;Total;2021;17.772
16 años;14 Murcia, Región de;Total;2020;17.609
16 años;14 Murcia, Región de;Total;2019;16.844
16 años;14 Murcia, Región de;Total;2018;16.631
16 años;14 Murcia, Región de;Total;2017;16.268
16 años;14 Murcia, Región de;Total;2016;15.659
16 años;14 Murcia, Región de;Total;2015;15.670
16 años;14 Murcia, Región de;Total;2014;15.837
16 años;14 Murcia, Región de;Total;2013;15.551
16 años;14 Murcia, Región de;Hombres;2021;9.230
16 años;14 Murcia, Región de;Hombres;2020;9.193
16 años;14 Murcia, Región de;Hombres;2019;8.726
16 años;14 Murcia, Región de;Hombres;2018;8.424
16 años;14 Murcia, Región de;Hombres;2017;8.395
16 años;14 Murcia, Región de;Hombres;2016;8.002
16 años;14 Murcia, Región de;Hombres;2015;8.040
16 años;14 Murcia, Región de;Hombres;2014;8.087
16 años;14 Murcia, Región de;Hombres;2013;8.032
16 años;14 Murcia, Región de;Mujeres;2021;8.542
16 años;14 Murcia, Región de;Mujeres;2020;8.416
16 años;14 Murcia, Región de;Mujeres;2019;8.118
16 años;14 Murcia, Región de;Mujeres;2018;8.207
16 años;14 Murcia, Región de;Mujeres;2017;7.873
16 años;14 Murcia, Región de;Mujeres;2016;7.657
16 años;14 Murcia, Región de;Mujeres;2015;7.630
16 años;14 Murcia, Región de;Mujeres;2014;7.750
16 años;14 Murcia, Región de;Mujeres;2013;7.519
16 años;15 Navarra, Comunidad Foral de;Total;2021;7.124
16 años;15 Navarra, Comunidad Foral de;Total;2020;7.147
16 años;15 Navarra, Comunidad Foral de;Total;2019;6.696
16 años;15 Navarra, Comunidad Foral de;Total;2018;6.667
16 años;15 Navarra, Comunidad Foral de;Total;2017;6.441
16 años;15 Navarra, Comunidad Foral de;Total;2016;6.236
16 años;15 Navarra, Comunidad Foral de;Total;2015;6.137
16 años;15 Navarra, Comunidad Foral de;Total;2014;6.116
16 años;15 Navarra, Comunidad Foral de;Total;2013;6.004
16 años;15 Navarra, Comunidad Foral de;Hombres;2021;3.751
16 años;15 Navarra, Comunidad Foral de;Hombres;2020;3.651
16 años;15 Navarra, Comunidad Foral de;Hombres;2019;3.417
16 años;15 Navarra, Comunidad Foral de;Hombres;2018;3.413
16 años;15 Navarra, Comunidad Foral de;Hombres;2017;3.282
16 años;15 Navarra, Comunidad Foral de;Hombres;2016;3.242
16 años;15 Navarra, Comunidad Foral de;Hombres;2015;3.164
16 años;15 Navarra, Comunidad Foral de;Hombres;2014;3.131
16 años;15 Navarra, Comunidad Foral de;Hombres;2013;3.029
16 años;15 Navarra, Comunidad Foral de;Mujeres;2021;3.373
16 años;15 Navarra, Comunidad Foral de;Mujeres;2020;3.496
16 años;15 Navarra, Comunidad Foral de;Mujeres;2019;3.279
16 años;15 Navarra, Comunidad Foral de;Mujeres;2018;3.254
16 años;15 Navarra, Comunidad Foral de;Mujeres;2017;3.159
16 años;15 Navarra, Comunidad Foral de;Mujeres;2016;2.994
16 años;15 Navarra, Comunidad Foral de;Mujeres;2015;2.973
16 años;15 Navarra, Comunidad Foral de;Mujeres;2014;2.985
16 años;15 Navarra, Comunidad Foral de;Mujeres;2013;2.975
16 años;16 País Vasco;Total;2021;21.509
16 años;16 País Vasco;Total;2020;21.206
16 años;16 País Vasco;Total;2019;20.026
16 años;16 País Vasco;Total;2018;19.457
16 años;16 País Vasco;Total;2017;19.174
16 años;16 País Vasco;Total;2016;18.608
16 años;16 País Vasco;Total;2015;17.639
16 años;16 País Vasco;Total;2014;17.722
16 años;16 País Vasco;Total;2013;17.338
16 años;16 País Vasco;Hombres;2021;11.057
16 años;16 País Vasco;Hombres;2020;11.003
16 años;16 País Vasco;Hombres;2019;10.248
16 años;16 País Vasco;Hombres;2018;10.136
16 años;16 País Vasco;Hombres;2017;9.963
16 años;16 País Vasco;Hombres;2016;9.491
16 años;16 País Vasco;Hombres;2015;9.142
16 años;16 País Vasco;Hombres;2014;9.210
16 años;16 País Vasco;Hombres;2013;8.846
16 años;16 País Vasco;Mujeres;2021;10.452
16 años;16 País Vasco;Mujeres;2020;10.203
16 años;16 País Vasco;Mujeres;2019;9.778
16 años;16 País Vasco;Mujeres;2018;9.321
16 años;16 País Vasco;Mujeres;2017;9.211
16 años;16 País Vasco;Mujeres;2016;9.117
16 años;16 País Vasco;Mujeres;2015;8.497
16 años;16 País Vasco;Mujeres;2014;8.512
16 años;16 País Vasco;Mujeres;2013;8.492
16 años;17 Rioja, La;Total;2021;3.341
16 años;17 Rioja, La;Total;2020;3.257
16 años;17 Rioja, La;Total;2019;2.978
16 años;17 Rioja, La;Total;2018;2.939
16 años;17 Rioja, La;Total;2017;2.926
16 años;17 Rioja, La;Total;2016;2.940
16 años;17 Rioja, La;Total;2015;2.864
16 años;17 Rioja, La;Total;2014;2.911
16 años;17 Rioja, La;Total;2013;2.789
16 años;17 Rioja, La;Hombres;2021;1.704
16 años;17 Rioja, La;Hombres;2020;1.636
16 años;17 Rioja, La;Hombres;2019;1.522
16 años;17 Rioja, La;Hombres;2018;1.518
16 años;17 Rioja, La;Hombres;2017;1.524
16 años;17 Rioja, La;Hombres;2016;1.504
16 años;17 Rioja, La;Hombres;2015;1.448
16 años;17 Rioja, La;Hombres;2014;1.468
16 años;17 Rioja, La;Hombres;2013;1.388
16 años;17 Rioja, La;Mujeres;2021;1.637
16 años;17 Rioja, La;Mujeres;2020;1.621
16 años;17 Rioja, La;Mujeres;2019;1.456
16 años;17 Rioja, La;Mujeres;2018;1.421
16 años;17 Rioja, La;Mujeres;2017;1.402
16 años;17 Rioja, La;Mujeres;2016;1.436
16 años;17 Rioja, La;Mujeres;2015;1.416
16 años;17 Rioja, La;Mujeres;2014;1.443
16 años;17 Rioja, La;Mujeres;2013;1.401
16 años;18 Ceuta;Total;2021;1.177
16 años;18 Ceuta;Total;2020;1.137
16 años;18 Ceuta;Total;2019;1.074
16 años;18 Ceuta;Total;2018;1.054
16 años;18 Ceuta;Total;2017;1.056
16 años;18 Ceuta;Total;2016;1.078
16 años;18 Ceuta;Total;2015;1.017
16 años;18 Ceuta;Total;2014;1.038
16 años;18 Ceuta;Total;2013;981
16 años;18 Ceuta;Hombres;2021;607
16 años;18 Ceuta;Hombres;2020;578
16 años;18 Ceuta;Hombres;2019;529
16 años;18 Ceuta;Hombres;2018;555
16 años;18 Ceuta;Hombres;2017;517
16 años;18 Ceuta;Hombres;2016;519
16 años;18 Ceuta;Hombres;2015;519
16 años;18 Ceuta;Hombres;2014;513
16 años;18 Ceuta;Hombres;2013;504
16 años;18 Ceuta;Mujeres;2021;570
16 años;18 Ceuta;Mujeres;2020;559
16 años;18 Ceuta;Mujeres;2019;545
16 años;18 Ceuta;Mujeres;2018;499
16 años;18 Ceuta;Mujeres;2017;539
16 años;18 Ceuta;Mujeres;2016;559
16 años;18 Ceuta;Mujeres;2015;498
16 años;18 Ceuta;Mujeres;2014;525
16 años;18 Ceuta;Mujeres;2013;477
16 años;19 Melilla;Total;2021;1.116
16 años;19 Melilla;Total;2020;1.196
16 años;19 Melilla;Total;2019;1.181
16 años;19 Melilla;Total;2018;1.194
16 años;19 Melilla;Total;2017;1.209
16 años;19 Melilla;Total;2016;1.088
16 años;19 Melilla;Total;2015;1.118
16 años;19 Melilla;Total;2014;1.145
16 años;19 Melilla;Total;2013;1.086
16 años;19 Melilla;Hombres;2021;563
16 años;19 Melilla;Hombres;2020;611
16 años;19 Melilla;Hombres;2019;620
16 años;19 Melilla;Hombres;2018;609
16 años;19 Melilla;Hombres;2017;647
16 años;19 Melilla;Hombres;2016;564
16 años;19 Melilla;Hombres;2015;574
16 años;19 Melilla;Hombres;2014;613
16 años;19 Melilla;Hombres;2013;586
16 años;19 Melilla;Mujeres;2021;553
16 años;19 Melilla;Mujeres;2020;585
16 años;19 Melilla;Mujeres;2019;561
16 años;19 Melilla;Mujeres;2018;585
16 años;19 Melilla;Mujeres;2017;562
16 años;19 Melilla;Mujeres;2016;524
16 años;19 Melilla;Mujeres;2015;544
16 años;19 Melilla;Mujeres;2014;532
16 años;19 Melilla;Mujeres;2013;500
17 años;Total Nacional;Total;2021;484.505
17 años;Total Nacional;Total;2020;466.637
17 años;Total Nacional;Total;2019;459.199
17 años;Total Nacional;Total;2018;455.618
17 años;Total Nacional;Total;2017;441.973
17 años;Total Nacional;Total;2016;426.879
17 años;Total Nacional;Total;2015;429.727
17 años;Total Nacional;Total;2014;425.304
17 años;Total Nacional;Total;2013;425.147
17 años;Total Nacional;Hombres;2021;249.083
17 años;Total Nacional;Hombres;2020;241.195
17 años;Total Nacional;Hombres;2019;236.309
17 años;Total Nacional;Hombres;2018;235.508
17 años;Total Nacional;Hombres;2017;227.103
17 años;Total Nacional;Hombres;2016;220.750
17 años;Total Nacional;Hombres;2015;221.031
17 años;Total Nacional;Hombres;2014;218.459
