Total Nacional;Comunidades y Ciudades Autónomas;Tipo de Delito: Nivel 1;Tipo de Delito: Nivel 2;Tipo de Delito: Nivel 3;Tipo de Delito: Nivel 4;Periodo;Total
Total Nacional;;A Total Delitos;1 Homicidio y sus formas;1.2 Asesinato;;2014;244
Total Nacional;;A Total Delitos;1 Homicidio y sus formas;1.2 Asesinato;;2013;297
Total Nacional;;A Total Delitos;1 Homicidio y sus formas;1.3 Homicidio por imprudencia;;2021;560
Total Nacional;;A Total Delitos;1 Homicidio y sus formas;1.3 Homicidio por imprudencia;;2020;464
Total Nacional;;A Total Delitos;1 Homicidio y sus formas;1.3 Homicidio por imprudencia;;2019;553
Total Nacional;;A Total Delitos;1 Homicidio y sus formas;1.3 Homicidio por imprudencia;;2018;587
Total Nacional;;A Total Delitos;1 Homicidio y sus formas;1.3 Homicidio por imprudencia;;2017;593
Total Nacional;;A Total Delitos;1 Homicidio y sus formas;1.3 Homicidio por imprudencia;;2016;613
Total Nacional;;A Total Delitos;1 Homicidio y sus formas;1.3 Homicidio por imprudencia;;2015;628
Total Nacional;;A Total Delitos;1 Homicidio y sus formas;1.3 Homicidio por imprudencia;;2014;559
Total Nacional;;A Total Delitos;1 Homicidio y sus formas;1.3 Homicidio por imprudencia;;2013;616
Total Nacional;;A Total Delitos;1 Homicidio y sus formas;1.4 Inducción al suicidio;;2021;""
Total Nacional;;A Total Delitos;1 Homicidio y sus formas;1.4 Inducción al suicidio;;2020;1
Total Nacional;;A Total Delitos;1 Homicidio y sus formas;1.4 Inducción al suicidio;;2019;1
Total Nacional;;A Total Delitos;1 Homicidio y sus formas;1.4 Inducción al suicidio;;2018;1
Total Nacional;;A Total Delitos;1 Homicidio y sus formas;1.4 Inducción al suicidio;;2017;1
Total Nacional;;A Total Delitos;1 Homicidio y sus formas;1.4 Inducción al suicidio;;2016;7
Total Nacional;;A Total Delitos;1 Homicidio y sus formas;1.4 Inducción al suicidio;;2015;""
Total Nacional;;A Total Delitos;1 Homicidio y sus formas;1.4 Inducción al suicidio;;2014;""
Total Nacional;;A Total Delitos;1 Homicidio y sus formas;1.4 Inducción al suicidio;;2013;1
Total Nacional;;A Total Delitos;3 Lesiones;;;2021;70.678
Total Nacional;;A Total Delitos;3 Lesiones;;;2020;53.105
Total Nacional;;A Total Delitos;3 Lesiones;;;2019;69.437
Total Nacional;;A Total Delitos;3 Lesiones;;;2018;67.472
Total Nacional;;A Total Delitos;3 Lesiones;;;2017;65.519
Total Nacional;;A Total Delitos;3 Lesiones;;;2016;55.272
Total Nacional;;A Total Delitos;3 Lesiones;;;2015;37.082
Total Nacional;;A Total Delitos;3 Lesiones;;;2014;34.136
Total Nacional;;A Total Delitos;3 Lesiones;;;2013;33.767
Total Nacional;;A Total Delitos;6 Contra la libertad;;;2021;31.251
Total Nacional;;A Total Delitos;6 Contra la libertad;;;2020;22.369
Total Nacional;;A Total Delitos;6 Contra la libertad;;;2019;27.828
Total Nacional;;A Total Delitos;6 Contra la libertad;;;2018;27.003
Total Nacional;;A Total Delitos;6 Contra la libertad;;;2017;25.783
Total Nacional;;A Total Delitos;6 Contra la libertad;;;2016;21.635
Total Nacional;;A Total Delitos;6 Contra la libertad;;;2015;12.821
Total Nacional;;A Total Delitos;6 Contra la libertad;;;2014;10.947
Total Nacional;;A Total Delitos;6 Contra la libertad;;;2013;10.785
Total Nacional;;A Total Delitos;6 Contra la libertad;6.2 Amenazas;;2021;25.132
Total Nacional;;A Total Delitos;6 Contra la libertad;6.2 Amenazas;;2020;17.983
Total Nacional;;A Total Delitos;6 Contra la libertad;6.2 Amenazas;;2019;22.398
Total Nacional;;A Total Delitos;6 Contra la libertad;6.2 Amenazas;;2018;21.986
Total Nacional;;A Total Delitos;6 Contra la libertad;6.2 Amenazas;;2017;21.149
Total Nacional;;A Total Delitos;6 Contra la libertad;6.2 Amenazas;;2016;17.827
Total Nacional;;A Total Delitos;6 Contra la libertad;6.2 Amenazas;;2015;10.427
Total Nacional;;A Total Delitos;6 Contra la libertad;6.2 Amenazas;;2014;8.947
Total Nacional;;A Total Delitos;6 Contra la libertad;6.2 Amenazas;;2013;8.802
Total Nacional;;A Total Delitos;6 Contra la libertad;6.9 Coacciones y detenciones ilegales;;2021;6.119
Total Nacional;;A Total Delitos;6 Contra la libertad;6.9 Coacciones y detenciones ilegales;;2020;4.386
Total Nacional;;A Total Delitos;6 Contra la libertad;6.9 Coacciones y detenciones ilegales;;2019;5.430
Total Nacional;;A Total Delitos;6 Contra la libertad;6.9 Coacciones y detenciones ilegales;;2018;5.017
Total Nacional;;A Total Delitos;6 Contra la libertad;6.9 Coacciones y detenciones ilegales;;2017;4.634
Total Nacional;;A Total Delitos;6 Contra la libertad;6.9 Coacciones y detenciones ilegales;;2016;3.808
Total Nacional;;A Total Delitos;6 Contra la libertad;6.9 Coacciones y detenciones ilegales;;2015;2.394
Total Nacional;;A Total Delitos;6 Contra la libertad;6.9 Coacciones y detenciones ilegales;;2014;2.000
Total Nacional;;A Total Delitos;6 Contra la libertad;6.9 Coacciones y detenciones ilegales;;2013;1.983
Total Nacional;;A Total Delitos;7 Torturas e integridad moral;;;2021;9.700
Total Nacional;;A Total Delitos;7 Torturas e integridad moral;;;2020;7.078
Total Nacional;;A Total Delitos;7 Torturas e integridad moral;;;2019;8.102
Total Nacional;;A Total Delitos;7 Torturas e integridad moral;;;2018;7.819
Total Nacional;;A Total Delitos;7 Torturas e integridad moral;;;2017;7.198
Total Nacional;;A Total Delitos;7 Torturas e integridad moral;;;2016;6.247
Total Nacional;;A Total Delitos;7 Torturas e integridad moral;;;2015;3.995
Total Nacional;;A Total Delitos;7 Torturas e integridad moral;;;2014;2.545
Total Nacional;;A Total Delitos;7 Torturas e integridad moral;;;2013;2.771
Total Nacional;;A Total Delitos;7 Torturas e integridad moral;7.1 Trato degradante y violencia;;2021;9.589
Total Nacional;;A Total Delitos;7 Torturas e integridad moral;7.1 Trato degradante y violencia;;2020;7.030
Total Nacional;;A Total Delitos;7 Torturas e integridad moral;7.1 Trato degradante y violencia;;2019;8.014
Total Nacional;;A Total Delitos;7 Torturas e integridad moral;7.1 Trato degradante y violencia;;2018;7.733
Total Nacional;;A Total Delitos;7 Torturas e integridad moral;7.1 Trato degradante y violencia;;2017;7.156
Total Nacional;;A Total Delitos;7 Torturas e integridad moral;7.1 Trato degradante y violencia;;2016;6.168
Total Nacional;;A Total Delitos;7 Torturas e integridad moral;7.1 Trato degradante y violencia;;2015;3.921
Total Nacional;;A Total Delitos;7 Torturas e integridad moral;7.1 Trato degradante y violencia;;2014;2.476
Total Nacional;;A Total Delitos;7 Torturas e integridad moral;7.1 Trato degradante y violencia;;2013;2.718
Total Nacional;;A Total Delitos;7 Torturas e integridad moral;7.2 Tortura;;2021;93
Total Nacional;;A Total Delitos;7 Torturas e integridad moral;7.2 Tortura;;2020;41
Total Nacional;;A Total Delitos;7 Torturas e integridad moral;7.2 Tortura;;2019;75
Total Nacional;;A Total Delitos;7 Torturas e integridad moral;7.2 Tortura;;2018;77
Total Nacional;;A Total Delitos;7 Torturas e integridad moral;7.2 Tortura;;2017;36
Total Nacional;;A Total Delitos;7 Torturas e integridad moral;7.2 Tortura;;2016;76
Total Nacional;;A Total Delitos;7 Torturas e integridad moral;7.2 Tortura;;2015;69
Total Nacional;;A Total Delitos;7 Torturas e integridad moral;7.2 Tortura;;2014;68
Total Nacional;;A Total Delitos;7 Torturas e integridad moral;7.2 Tortura;;2013;47
Total Nacional;;A Total Delitos;7 Torturas e integridad moral;7.3 Otros;;2021;18
Total Nacional;;A Total Delitos;7 Torturas e integridad moral;7.3 Otros;;2020;7
Total Nacional;;A Total Delitos;7 Torturas e integridad moral;7.3 Otros;;2019;13
Total Nacional;;A Total Delitos;7 Torturas e integridad moral;7.3 Otros;;2018;9
Total Nacional;;A Total Delitos;7 Torturas e integridad moral;7.3 Otros;;2017;6
Total Nacional;;A Total Delitos;7 Torturas e integridad moral;7.3 Otros;;2016;3
Total Nacional;;A Total Delitos;7 Torturas e integridad moral;7.3 Otros;;2015;5
Total Nacional;;A Total Delitos;7 Torturas e integridad moral;7.3 Otros;;2014;1
Total Nacional;;A Total Delitos;7 Torturas e integridad moral;7.3 Otros;;2013;6
Total Nacional;;A Total Delitos;8 Contra la libertad e indemnidad sexuales;;;2021;3.881
Total Nacional;;A Total Delitos;8 Contra la libertad e indemnidad sexuales;;;2020;2.885
Total Nacional;;A Total Delitos;8 Contra la libertad e indemnidad sexuales;;;2019;3.296
Total Nacional;;A Total Delitos;8 Contra la libertad e indemnidad sexuales;;;2018;2.917
Total Nacional;;A Total Delitos;8 Contra la libertad e indemnidad sexuales;;;2017;2.764
Total Nacional;;A Total Delitos;8 Contra la libertad e indemnidad sexuales;;;2016;2.721
Total Nacional;;A Total Delitos;8 Contra la libertad e indemnidad sexuales;;;2015;2.515
Total Nacional;;A Total Delitos;8 Contra la libertad e indemnidad sexuales;;;2014;2.492
Total Nacional;;A Total Delitos;8 Contra la libertad e indemnidad sexuales;;;2013;2.628
Total Nacional;;A Total Delitos;12 Contra las relaciones familiares;;;2021;5.087
Total Nacional;;A Total Delitos;12 Contra las relaciones familiares;;;2020;4.193
Total Nacional;;A Total Delitos;12 Contra las relaciones familiares;;;2019;5.821
Total Nacional;;A Total Delitos;12 Contra las relaciones familiares;;;2018;6.196
Total Nacional;;A Total Delitos;12 Contra las relaciones familiares;;;2017;6.595
Total Nacional;;A Total Delitos;12 Contra las relaciones familiares;;;2016;6.945
Total Nacional;;A Total Delitos;12 Contra las relaciones familiares;;;2015;7.089
Total Nacional;;A Total Delitos;12 Contra las relaciones familiares;;;2014;6.946
Total Nacional;;A Total Delitos;12 Contra las relaciones familiares;;;2013;6.282
Total Nacional;;A Total Delitos;12 Contra las relaciones familiares;12.3 Contra los derechos y deberes familiares;;2021;5.083
Total Nacional;;A Total Delitos;12 Contra las relaciones familiares;12.3 Contra los derechos y deberes familiares;;2020;4.174
Total Nacional;;A Total Delitos;12 Contra las relaciones familiares;12.3 Contra los derechos y deberes familiares;;2019;5.810
Total Nacional;;A Total Delitos;12 Contra las relaciones familiares;12.3 Contra los derechos y deberes familiares;;2018;6.181
Total Nacional;;A Total Delitos;12 Contra las relaciones familiares;12.3 Contra los derechos y deberes familiares;;2017;6.581
Total Nacional;;A Total Delitos;12 Contra las relaciones familiares;12.3 Contra los derechos y deberes familiares;;2016;6.929
Total Nacional;;A Total Delitos;12 Contra las relaciones familiares;12.3 Contra los derechos y deberes familiares;;2015;7.071
Total Nacional;;A Total Delitos;12 Contra las relaciones familiares;12.3 Contra los derechos y deberes familiares;;2014;6.926
Total Nacional;;A Total Delitos;12 Contra las relaciones familiares;12.3 Contra los derechos y deberes familiares;;2013;6.270
Total Nacional;;A Total Delitos;12 Contra las relaciones familiares;12.3 Contra los derechos y deberes familiares;12.3.1 Quebrantamiento de los deberes de custodia;2021;19
Total Nacional;;A Total Delitos;12 Contra las relaciones familiares;12.3 Contra los derechos y deberes familiares;12.3.1 Quebrantamiento de los deberes de custodia;2020;9
Total Nacional;;A Total Delitos;12 Contra las relaciones familiares;12.3 Contra los derechos y deberes familiares;12.3.1 Quebrantamiento de los deberes de custodia;2019;31
Total Nacional;;A Total Delitos;12 Contra las relaciones familiares;12.3 Contra los derechos y deberes familiares;12.3.1 Quebrantamiento de los deberes de custodia;2018;42
Total Nacional;;A Total Delitos;12 Contra las relaciones familiares;12.3 Contra los derechos y deberes familiares;12.3.1 Quebrantamiento de los deberes de custodia;2017;56
Total Nacional;;A Total Delitos;12 Contra las relaciones familiares;12.3 Contra los derechos y deberes familiares;12.3.1 Quebrantamiento de los deberes de custodia;2016;58
Total Nacional;;A Total Delitos;12 Contra las relaciones familiares;12.3 Contra los derechos y deberes familiares;12.3.1 Quebrantamiento de los deberes de custodia;2015;56
Total Nacional;;A Total Delitos;12 Contra las relaciones familiares;12.3 Contra los derechos y deberes familiares;12.3.1 Quebrantamiento de los deberes de custodia;2014;37
Total Nacional;;A Total Delitos;12 Contra las relaciones familiares;12.3 Contra los derechos y deberes familiares;12.3.1 Quebrantamiento de los deberes de custodia;2013;35
Total Nacional;;A Total Delitos;12 Contra las relaciones familiares;12.3 Contra los derechos y deberes familiares;12.3.2 Sustracción de menores;2021;37
Total Nacional;;A Total Delitos;12 Contra las relaciones familiares;12.3 Contra los derechos y deberes familiares;12.3.2 Sustracción de menores;2020;24
Total Nacional;;A Total Delitos;12 Contra las relaciones familiares;12.3 Contra los derechos y deberes familiares;12.3.2 Sustracción de menores;2019;30
Total Nacional;;A Total Delitos;12 Contra las relaciones familiares;12.3 Contra los derechos y deberes familiares;12.3.2 Sustracción de menores;2018;41
Total Nacional;;A Total Delitos;12 Contra las relaciones familiares;12.3 Contra los derechos y deberes familiares;12.3.2 Sustracción de menores;2017;33
Total Nacional;;A Total Delitos;12 Contra las relaciones familiares;12.3 Contra los derechos y deberes familiares;12.3.2 Sustracción de menores;2016;35
Total Nacional;;A Total Delitos;12 Contra las relaciones familiares;12.3 Contra los derechos y deberes familiares;12.3.2 Sustracción de menores;2015;32
Total Nacional;;A Total Delitos;12 Contra las relaciones familiares;12.3 Contra los derechos y deberes familiares;12.3.2 Sustracción de menores;2014;35
Total Nacional;;A Total Delitos;12 Contra las relaciones familiares;12.3 Contra los derechos y deberes familiares;12.3.2 Sustracción de menores;2013;32
Total Nacional;;A Total Delitos;12 Contra las relaciones familiares;12.3 Contra los derechos y deberes familiares;12.3.3 Abandono de familia;2021;5.027
Total Nacional;;A Total Delitos;12 Contra las relaciones familiares;12.3 Contra los derechos y deberes familiares;12.3.3 Abandono de familia;2020;4.141
Total Nacional;;A Total Delitos;12 Contra las relaciones familiares;12.3 Contra los derechos y deberes familiares;12.3.3 Abandono de familia;2019;5.749
Total Nacional;;A Total Delitos;12 Contra las relaciones familiares;12.3 Contra los derechos y deberes familiares;12.3.3 Abandono de familia;2018;6.098
Total Nacional;;A Total Delitos;12 Contra las relaciones familiares;12.3 Contra los derechos y deberes familiares;12.3.3 Abandono de familia;2017;6.492
Total Nacional;;A Total Delitos;12 Contra las relaciones familiares;12.3 Contra los derechos y deberes familiares;12.3.3 Abandono de familia;2016;6.836
Total Nacional;;A Total Delitos;12 Contra las relaciones familiares;12.3 Contra los derechos y deberes familiares;12.3.3 Abandono de familia;2015;6.983
Total Nacional;;A Total Delitos;12 Contra las relaciones familiares;12.3 Contra los derechos y deberes familiares;12.3.3 Abandono de familia;2014;6.854
Total Nacional;;A Total Delitos;12 Contra las relaciones familiares;12.3 Contra los derechos y deberes familiares;12.3.3 Abandono de familia;2013;6.203
Total Nacional;;A Total Delitos;12 Contra las relaciones familiares;12.99 Otros delitos contra las relaciones familiares;;2021;4
Total Nacional;;A Total Delitos;12 Contra las relaciones familiares;12.99 Otros delitos contra las relaciones familiares;;2020;19
Total Nacional;;A Total Delitos;12 Contra las relaciones familiares;12.99 Otros delitos contra las relaciones familiares;;2019;11
Total Nacional;;A Total Delitos;12 Contra las relaciones familiares;12.99 Otros delitos contra las relaciones familiares;;2018;15
Total Nacional;;A Total Delitos;12 Contra las relaciones familiares;12.99 Otros delitos contra las relaciones familiares;;2017;14
Total Nacional;;A Total Delitos;12 Contra las relaciones familiares;12.99 Otros delitos contra las relaciones familiares;;2016;16
Total Nacional;;A Total Delitos;12 Contra las relaciones familiares;12.99 Otros delitos contra las relaciones familiares;;2015;18
Total Nacional;;A Total Delitos;12 Contra las relaciones familiares;12.99 Otros delitos contra las relaciones familiares;;2014;20
Total Nacional;;A Total Delitos;12 Contra las relaciones familiares;12.99 Otros delitos contra las relaciones familiares;;2013;12
Total Nacional;;A Total Delitos;13 Contra el patrimonio y el orden socioeconómico;;;2021;126.673
Total Nacional;;A Total Delitos;13 Contra el patrimonio y el orden socioeconómico;;;2020;99.660
Total Nacional;;A Total Delitos;13 Contra el patrimonio y el orden socioeconómico;;;2019;141.686
Total Nacional;;A Total Delitos;13 Contra el patrimonio y el orden socioeconómico;;;2018;142.426
Total Nacional;;A Total Delitos;13 Contra el patrimonio y el orden socioeconómico;;;2017;136.992
Total Nacional;;A Total Delitos;13 Contra el patrimonio y el orden socioeconómico;;;2016;122.647
Total Nacional;;A Total Delitos;13 Contra el patrimonio y el orden socioeconómico;;;2015;74.790
Total Nacional;;A Total Delitos;13 Contra el patrimonio y el orden socioeconómico;;;2014;64.620
Total Nacional;;A Total Delitos;13 Contra el patrimonio y el orden socioeconómico;;;2013;60.645
Total Nacional;;A Total Delitos;13 Contra el patrimonio y el orden socioeconómico;13.1 Hurtos;;2021;57.535
Total Nacional;;A Total Delitos;13 Contra el patrimonio y el orden socioeconómico;13.1 Hurtos;;2020;47.533
Total Nacional;;A Total Delitos;13 Contra el patrimonio y el orden socioeconómico;13.1 Hurtos;;2019;71.671
Total Nacional;;A Total Delitos;13 Contra el patrimonio y el orden socioeconómico;13.1 Hurtos;;2018;70.102
Total Nacional;;A Total Delitos;13 Contra el patrimonio y el orden socioeconómico;13.1 Hurtos;;2017;63.721
Total Nacional;;A Total Delitos;13 Contra el patrimonio y el orden socioeconómico;13.1 Hurtos;;2016;55.282
Total Nacional;;A Total Delitos;13 Contra el patrimonio y el orden socioeconómico;13.1 Hurtos;;2015;20.611
Total Nacional;;A Total Delitos;13 Contra el patrimonio y el orden socioeconómico;13.1 Hurtos;;2014;11.606
Total Nacional;;A Total Delitos;13 Contra el patrimonio y el orden socioeconómico;13.1 Hurtos;;2013;10.751
Total Nacional;;A Total Delitos;13 Contra el patrimonio y el orden socioeconómico;13.2 Robos;;2021;22.564
Total Nacional;;A Total Delitos;13 Contra el patrimonio y el orden socioeconómico;13.2 Robos;;2020;18.149
Total Nacional;;A Total Delitos;13 Contra el patrimonio y el orden socioeconómico;13.2 Robos;;2019;24.004
Total Nacional;;A Total Delitos;13 Contra el patrimonio y el orden socioeconómico;13.2 Robos;;2018;25.756
Total Nacional;;A Total Delitos;13 Contra el patrimonio y el orden socioeconómico;13.2 Robos;;2017;27.713
Total Nacional;;A Total Delitos;13 Contra el patrimonio y el orden socioeconómico;13.2 Robos;;2016;28.758
Total Nacional;;A Total Delitos;13 Contra el patrimonio y el orden socioeconómico;13.2 Robos;;2015;29.499
Total Nacional;;A Total Delitos;13 Contra el patrimonio y el orden socioeconómico;13.2 Robos;;2014;30.815
Total Nacional;;A Total Delitos;13 Contra el patrimonio y el orden socioeconómico;13.2 Robos;;2013;30.509
Total Nacional;;A Total Delitos;13 Contra el patrimonio y el orden socioeconómico;13.2 Robos;13.2.1 Robo con violencia;2021;7.428
Total Nacional;;A Total Delitos;13 Contra el patrimonio y el orden socioeconómico;13.2 Robos;13.2.1 Robo con violencia;2020;6.484
Total Nacional;;A Total Delitos;13 Contra el patrimonio y el orden socioeconómico;13.2 Robos;13.2.1 Robo con violencia;2019;7.271
Total Nacional;;A Total Delitos;13 Contra el patrimonio y el orden socioeconómico;13.2 Robos;13.2.1 Robo con violencia;2018;7.263
Total Nacional;;A Total Delitos;13 Contra el patrimonio y el orden socioeconómico;13.2 Robos;13.2.1 Robo con violencia;2017;7.535
Total Nacional;;A Total Delitos;13 Contra el patrimonio y el orden socioeconómico;13.2 Robos;13.2.1 Robo con violencia;2016;7.882
Total Nacional;;A Total Delitos;13 Contra el patrimonio y el orden socioeconómico;13.2 Robos;13.2.1 Robo con violencia;2015;8.187
Total Nacional;;A Total Delitos;13 Contra el patrimonio y el orden socioeconómico;13.2 Robos;13.2.1 Robo con violencia;2014;8.755
Total Nacional;;A Total Delitos;13 Contra el patrimonio y el orden socioeconómico;13.2 Robos;13.2.1 Robo con violencia;2013;9.169
Total Nacional;;A Total Delitos;13 Contra el patrimonio y el orden socioeconómico;13.2 Robos;13.2.2 Robo con fuerza;2021;15.136
Total Nacional;;A Total Delitos;13 Contra el patrimonio y el orden socioeconómico;13.2 Robos;13.2.2 Robo con fuerza;2020;11.665
Total Nacional;;A Total Delitos;13 Contra el patrimonio y el orden socioeconómico;13.2 Robos;13.2.2 Robo con fuerza;2019;16.733
Total Nacional;;A Total Delitos;13 Contra el patrimonio y el orden socioeconómico;13.2 Robos;13.2.2 Robo con fuerza;2018;18.493
Total Nacional;;A Total Delitos;13 Contra el patrimonio y el orden socioeconómico;13.2 Robos;13.2.2 Robo con fuerza;2017;20.178
Total Nacional;;A Total Delitos;13 Contra el patrimonio y el orden socioeconómico;13.2 Robos;13.2.2 Robo con fuerza;2016;20.876
Total Nacional;;A Total Delitos;13 Contra el patrimonio y el orden socioeconómico;13.2 Robos;13.2.2 Robo con fuerza;2015;21.312
Total Nacional;;A Total Delitos;13 Contra el patrimonio y el orden socioeconómico;13.2 Robos;13.2.2 Robo con fuerza;2014;22.060
Total Nacional;;A Total Delitos;13 Contra el patrimonio y el orden socioeconómico;13.2 Robos;13.2.2 Robo con fuerza;2013;21.340
Total Nacional;;A Total Delitos;13 Contra el patrimonio y el orden socioeconómico;13.4 Robo y hurto de uso de vehículo;;2021;1.487
Total Nacional;;A Total Delitos;13 Contra el patrimonio y el orden socioeconómico;13.4 Robo y hurto de uso de vehículo;;2020;1.215
Total Nacional;;A Total Delitos;13 Contra el patrimonio y el orden socioeconómico;13.4 Robo y hurto de uso de vehículo;;2019;1.729
Total Nacional;;A Total Delitos;13 Contra el patrimonio y el orden socioeconómico;13.4 Robo y hurto de uso de vehículo;;2018;1.846
Total Nacional;;A Total Delitos;13 Contra el patrimonio y el orden socioeconómico;13.4 Robo y hurto de uso de vehículo;;2017;1.975
Total Nacional;;A Total Delitos;13 Contra el patrimonio y el orden socioeconómico;13.4 Robo y hurto de uso de vehículo;;2016;1.931
Total Nacional;;A Total Delitos;13 Contra el patrimonio y el orden socioeconómico;13.4 Robo y hurto de uso de vehículo;;2015;2.038
Total Nacional;;A Total Delitos;13 Contra el patrimonio y el orden socioeconómico;13.4 Robo y hurto de uso de vehículo;;2014;2.322
Total Nacional;;A Total Delitos;13 Contra el patrimonio y el orden socioeconómico;13.4 Robo y hurto de uso de vehículo;;2013;2.444
Total Nacional;;A Total Delitos;13 Contra el patrimonio y el orden socioeconómico;13.5 Usurpación;;2021;4.302
Total Nacional;;A Total Delitos;13 Contra el patrimonio y el orden socioeconómico;13.5 Usurpación;;2020;3.157
Total Nacional;;A Total Delitos;13 Contra el patrimonio y el orden socioeconómico;13.5 Usurpación;;2019;4.687
Total Nacional;;A Total Delitos;13 Contra el patrimonio y el orden socioeconómico;13.5 Usurpación;;2018;6.028
Total Nacional;;A Total Delitos;13 Contra el patrimonio y el orden socioeconómico;13.5 Usurpación;;2017;6.757
Total Nacional;;A Total Delitos;13 Contra el patrimonio y el orden socioeconómico;13.5 Usurpación;;2016;6.132
Total Nacional;;A Total Delitos;13 Contra el patrimonio y el orden socioeconómico;13.5 Usurpación;;2015;3.278
Total Nacional;;A Total Delitos;13 Contra el patrimonio y el orden socioeconómico;13.5 Usurpación;;2014;2.402
Total Nacional;;A Total Delitos;13 Contra el patrimonio y el orden socioeconómico;13.5 Usurpación;;2013;1.669
Total Nacional;;A Total Delitos;13 Contra el patrimonio y el orden socioeconómico;13.6 Defraudaciones;;2021;25.358
Total Nacional;;A Total Delitos;13 Contra el patrimonio y el orden socioeconómico;13.6 Defraudaciones;;2020;18.212
Total Nacional;;A Total Delitos;13 Contra el patrimonio y el orden socioeconómico;13.6 Defraudaciones;;2019;24.129
Total Nacional;;A Total Delitos;13 Contra el patrimonio y el orden socioeconómico;13.6 Defraudaciones;;2018;23.252
Total Nacional;;A Total Delitos;13 Contra el patrimonio y el orden socioeconómico;13.6 Defraudaciones;;2017;21.953
Total Nacional;;A Total Delitos;13 Contra el patrimonio y el orden socioeconómico;13.6 Defraudaciones;;2016;17.736
Total Nacional;;A Total Delitos;13 Contra el patrimonio y el orden socioeconómico;13.6 Defraudaciones;;2015;10.202
Total Nacional;;A Total Delitos;13 Contra el patrimonio y el orden socioeconómico;13.6 Defraudaciones;;2014;9.166
Total Nacional;;A Total Delitos;13 Contra el patrimonio y el orden socioeconómico;13.6 Defraudaciones;;2013;7.876
Total Nacional;;A Total Delitos;13 Contra el patrimonio y el orden socioeconómico;13.6 Defraudaciones;13.6.1 Estafas;2021;18.373
Total Nacional;;A Total Delitos;13 Contra el patrimonio y el orden socioeconómico;13.6 Defraudaciones;13.6.1 Estafas;2020;12.930
Total Nacional;;A Total Delitos;13 Contra el patrimonio y el orden socioeconómico;13.6 Defraudaciones;13.6.1 Estafas;2019;17.241
Total Nacional;;A Total Delitos;13 Contra el patrimonio y el orden socioeconómico;13.6 Defraudaciones;13.6.1 Estafas;2018;16.250
Total Nacional;;A Total Delitos;13 Contra el patrimonio y el orden socioeconómico;13.6 Defraudaciones;13.6.1 Estafas;2017;15.407
Total Nacional;;A Total Delitos;13 Contra el patrimonio y el orden socioeconómico;13.6 Defraudaciones;13.6.1 Estafas;2016;12.402
